latitude,longitude,area_1990,area_2000,area_2020,area_change_km2,annual_area_change_km2_per_year
36.2595175,73.01574944444444,0.0153,0.0153,0.0153,0.0,0.0
36.60098111111111,73.86163222222221,0.0216,0.0216,0.0216,0.0,0.0
36.62336694444444,73.47343583333334,0.0288,0.0288,0.0288,0.0,0.0
35.34436361111111,73.52941027777777,0.009,0.009,0.009,0.0,0.0
36.090698888888895,73.46955972222223,0.0144,0.0144,0.0144,0.0,0.0
36.093989444444446,73.66310083333335,0.0153,0.0153,0.0153,0.0,0.0
36.09670944444445,73.66758305555555,0.0918,0.0918,0.0918,0.0,0.0
36.10102722222222,73.68449666666667,0.0774,0.0774,0.0774,0.0,0.0
36.10308861111111,73.46672194444444,0.0261,0.0261,0.0504,0.0243,0.00081
36.10499388888889,73.44902972222222,0.0045,0.0045,0.0108,0.006300000000000001,0.00021000000000000004
36.11666944444445,73.42324583333334,0.1971,0.1971,0.1971,0.0,0.0
36.11920972222222,73.44865472222223,0.0378,0.0378,0.0378,0.0,0.0
36.12084888888889,73.50565777777778,0.0657,0.0657,0.0657,0.0,0.0
36.12891055555556,73.50463027777778,0.216,0.216,0.216,0.0,0.0
36.12761611111111,73.4472525,0.0369,0.0369,0.0369,0.0,0.0
36.13353138888889,73.50005861111111,0.0513,0.0513,0.0513,0.0,0.0
36.12624972222222,73.4154,0.0234,0.0234,0.0234,0.0,0.0
36.26372166666667,73.04711777777777,0.2061,0.2061,0.2061,0.0,0.0
36.26979194444444,73.05235138888888,0.0801,0.0801,0.0801,0.0,0.0
36.280523333333335,73.17974861111112,0.0333,0.0333,0.0333,0.0,0.0
35.02260111111111,75.83102527777777,0.0099,0.0099,0.0099,0.0,0.0
36.097745,73.67705333333333,0.0081,0.0081,0.0081,0.0,0.0
35.01922166666667,76.33698249999999,0.0063,0.0063,0.0063,0.0,0.0
39.201389444444445,73.68420888888889,0.0117,0.0117,0.0117,0.0,0.0
35.228805,73.92911944444445,0.0072,0.0072,0.0072,0.0,0.0
35.07881750000001,75.21598416666667,0.009,0.009,0.009,0.0,0.0
35.828745277777784,75.74184972222223,0.0045,0.0045,0.0045,0.0,0.0
36.00389527777778,75.17720194444445,0.0054,0.0054,0.0054,0.0,0.0
36.136604444444444,73.5238988888889,0.0288,0.0288,0.0288,0.0,0.0
36.139892777777774,73.49949444444445,0.0216,0.0216,0.0216,0.0,0.0
36.14558861111111,73.63904416666668,0.1737,0.1737,0.1737,0.0,0.0
36.412481388888885,72.9006925,0.0792,0.0792,0.1053,0.026099999999999998,0.0008699999999999999
36.06971916666667,73.73556555555555,0.0153,0.0153,0.0153,0.0,0.0
36.06894555555556,73.54855111111111,0.045,0.045,0.045,0.0,0.0
36.06813722222223,73.20381972222222,0.0252,0.0252,0.0252,0.0,0.0
