id,name,place_type,latitude,longitude,population
301887041,Dhari Kayaala,village,33.8821289,73.2755924,
301889175,Mohra Maira,village,33.8809888,73.2649923,
302094767,Gorraki Mera,village,34.0655215,72.9802206,
302095276,Jatti Pind,village,34.0645261,72.9645994,
302095529,Lilloor,village,34.0625352,72.9874303,
302095620,Teer,village,34.0585532,72.9946401,
302098020,Raajoya,village,34.0777501,73.2270696,
302098485,Balldher,village,34.0042095,73.0770804,
302121925,Juglot,town,35.6883261,74.6258433,
302217630,Sassi,village,35.8390691,74.7410205,
302344577,Tube Well,village,33.9154563,72.7927869,
302346129,Paidane,village,33.9226138,72.7805896,
302541316,Jharee Kas,village,33.9007272,72.7769079,
302551621,Shahiya,village,33.876096,72.7612953,
302553605,Sultanpur,village,33.8874969,72.7474079,
302556115,Utmanabad,village,33.8882949,72.766119,
302560856,Sarai Gadai,village,33.9415949,72.8183727,6186
302579461,Khar Bara,village,33.9792615,72.6925449,
302580263,Hamlet Colony,village,34.0052646,72.6633625,
302581802,Dumrai,village,33.9851261,72.6439218,
302606422,Gudwalian,village,34.0132689,72.803009,2043
302606622,Sarri,village,34.025361,72.825075,3558
302606874,Bhera,village,33.996704,72.844068,4070
302607056,Kalu Pind,village,33.9900722,72.8320198,2359
302607382,Sirikot,village,34.0425844,72.7737587,
302607751,Chamba Pind,village,33.947042,72.7842121,
302789762,Dhingee,village,33.9181701,72.7962373,
302858681,Koklian,village,33.9617437,72.8206472,
303134868,Chapra,village,33.9238958,73.0245977,
303150493,Shah Maqsood,village,33.9860984,73.0396009,
303150871,Laban Bandi,village,33.9947806,73.0282712,
303160034,Chajian,village,33.8874729,73.0208469,
303160948,Khohi Kaman,village,33.8374757,72.995441,
303164508,Baghpur Dheri,village,33.8045179,73.064097,
303171949,Khanpur,town,33.8026803,72.9125888,
303176770,Julian,village,33.77418,72.8799558,
303181047,Kamilpur,village,33.8560027,72.8682313,
303181383,Pind Muneem,village,33.8712531,72.9110508,
303181410,Bandi Muneem,village,33.8653524,72.9299919,
303284174,Tramkan,village,33.8606822,73.041689,
303284389,Sarral,village,33.8639963,73.06349,
303284549,Chapprian,village,33.8688069,73.0805703,
303284594,Dharra,village,33.8731541,73.0864068,
303284820,Sari Bang,village,33.8866573,73.1004401,
303286120,Dubran,village,33.9148683,73.1281205,
303286954,Jabbri,village,33.9045396,73.1741687,
303287483,Nalla Hazara,village,33.8882605,73.1538697,
303833916,Akhori,village,33.8756215,72.9400232,
303849395,Paharro,village,33.9694917,72.8403738,
309340559,Rehana,village,33.98108,72.9874523,
310387840,Kailag,village,33.9963314,73.1201356,
310388010,Thipra,village,33.9160607,72.9816907,
310388840,Govt. Primary School,village,33.906359,72.961984,
310388963,Govt. High School,village,33.906993,72.9653571,
318090711,Kishim,town,36.8178142,70.1013801,
331119287,Chandiloora,village,34.0703492,74.4521083,
331119288,Wahipora,village,34.0702179,74.4558261,
331119291,Kunzer,town,34.0829324,74.5002436,1890
331119297,Monglora,village,34.0884085,74.5254514,
331119298,Dhobiwan,village,34.08969,74.5485404,
331119299,Chichilora,village,34.0930034,74.5713045,
331119302,Magam,town,34.0932933,74.5916244,5470
331119774,Lawaypora,village,34.1173282,74.6986747,
331119778,Umrabad,village,34.1113387,74.7282649,
342115051,Keylang,town,32.5713398,77.0345199,1150
342116252,Likche,village,33.7272468,77.9543407,
342116269,Basgo,hamlet,34.2236252,77.2754336,
342116275,Nimo,village,34.19632,77.33551,
342116314,Palchan,village,32.3095152,77.1758334,
342116320,Marhi,hamlet,32.3492708,77.2182611,
342116334,Koksar,hamlet,32.41516,77.23389,
342116347,Gya,village,33.6530491,77.7351649,
342116360,Patseo,village,32.75711,77.25998,
342116464,Nurla,village,34.3026865,76.9801492,
342116471,Uleytokpo,hamlet,34.2534909,77.0926194,
342116474,Sissu,village,32.4688515,77.1323276,
342116481,Gondhla,village,32.5132678,77.0146942,
342116494,Stingri,village,32.5604849,77.0718077,
342116500,Gemur,village,32.6118243,77.146495,
342116563,Tirit,village,34.5405895,77.6428322,
342116571,Diskit,town,34.5512277,77.5506547,
342116578,Lagzhung,village,34.5867678,77.6171574,
342116591,Sumur,village,34.6185594,77.6132533,
342116627,Shey,village,34.0713377,77.6397177,
342116634,Thiksey,village,34.0504656,77.6686439,
342116640,Ranbirpura,village,34.0306057,77.6820555,
342116647,Stakna,village,34.0014386,77.6794412,
342116654,Sakti,village,33.9737964,77.8068829,
342116847,Miru,village,33.7397461,77.756421,
342116879,Stok,village,34.0649307,77.5479632,
342116898,Danglas Chan,hamlet,33.6149854,77.76593,
342116932,Hundar,village,34.5840883,77.4718253,
342116945,Youlkam,hamlet,34.70581,77.57721,
342116951,Terisha,village,34.7336634,77.5700475,
342116959,Panamik,village,34.787992,77.5337413,
342117012,Takmar,hamlet,34.3775158,77.6549763,
342117018,Khardung,village,34.398586,77.6568546,
342117030,Khalsar,village,34.4918744,77.7026172,
342118125,Lakhanpur,town,32.3822,75.59418,1759
342118189,Mulbekh,village,34.3794737,76.3689346,1393
342118195,Gyal,hamlet,34.3707499,76.4126414,
342118206,Darkit,hamlet,34.4464418,76.2795877,
342118212,Lalung,village,34.5907985,76.2981853,
342118219,Silmo,village,34.6266161,76.3202676,
342118227,Batalik,village,34.6557669,76.339433,
342118241,Rangdum,hamlet,34.0361946,76.3719955,
342118360,Rantaksha,village,33.56323,76.76148,
342118366,Sani,village,33.5085355,76.8094126,
342118380,Chauntra,town,32.0145466,76.735512,
342118400,Skurbuchan,village,34.4353267,76.7105915,
342118414,Domkhar,village,34.39407,76.75873,
342118438,Achinathang,village,34.5045418,76.6319666,
342118448,Hanu Thang,village,34.5610623,76.5931037,
342118463,Heniskot Yogma,hamlet,34.3070202,76.6401252,
342118490,Baijnath,town,32.0497564,76.6449703,
342118501,Alhilal,village,32.0727838,76.6010015,
342118517,Phey,village,33.61267,76.71067,
342118969,Manda,hamlet,33.6282674,76.6884587,
342118980,Kushool,hamlet,33.6882044,76.5866839,
342118989,Abran,village,33.7014801,76.5545424,
342119027,Biamaa,hamlet,34.5977779,76.521754,
342119033,Dah,village,34.6238131,76.4804223,
342119039,Garkone,village,34.6347796,76.4354703,
