sample_id,area,longitude,latitude,is_top200,temperature,rainfall,label,elevation,distance_to_nearest_settlement_km,nearest_settlement_name
63,0.006262633,74.27051762,35.03424086,FALSE,-0.81,1.73,0,4211,14.56539954,
64,0.003331451,74.26216638,35.04384006,FALSE,-0.81,1.73,0,4313,15.84316908,
65,0.001460655,74.278914,35.05153027,FALSE,-0.81,1.73,0,4197,15.37913223,
66,0.007277967,74.27883909,35.0532169,FALSE,-0.81,1.73,0,4188,15.52444842,
67,0.003130972,74.29684743,35.05912433,FALSE,-0.81,1.73,0,4481,15.03417356,
68,0.002023044,74.26928218,35.06208345,FALSE,-0.81,1.73,0,3915,16.83924118,
69,0.001066896,74.26995854,35.09670217,FALSE,-0.81,1.73,0,4302,13.74126701,Garul
70,0.007291193,74.28735471,35.12268651,FALSE,-0.81,1.73,0,4543,10.50641489,Garul
71,0.079399207,74.3763953,35.1972932,FALSE,-0.81,1.73,0,4642,5.455672459,Garul
72,0.003027491,74.37392754,35.0128905,FALSE,-0.81,1.73,0,3864,7.379747336,
73,0.005580415,74.37697665,34.96838023,FALSE,-0.81,1.73,0,3404,2.596314229,
74,0.009904528,74.34220828,34.89789041,FALSE,-0.81,1.73,0,3967,6.043516829,Dogian
75,0.008394886,74.36179248,34.90302733,FALSE,-0.81,1.73,0,4135,4.739436427,Domel
76,0.006073095,74.30747407,34.86712201,FALSE,-0.81,1.73,0,4017,5.388776333,Dogian
77,0.00259134,74.27980466,34.86295733,FALSE,-0.81,1.73,0,4213,7.602972134,Dogian
78,0.000808335,74.26098517,34.86987802,FALSE,-0.81,1.73,0,4168,5.892223051,Surgan Det
79,0.021818263,74.44343641,34.87704871,FALSE,-0.81,1.73,0,3858,4.284730563,
80,0.016662246,74.44832788,34.88010748,FALSE,-0.81,1.73,0,3694,4.166317387,
81,0.001848374,74.46815361,34.8742305,FALSE,-0.81,1.73,0,3649,5.753365732,
82,0.004240915,74.46835404,34.87335603,FALSE,-0.81,1.73,0,3649,5.838440046,
83,0.754965753,74.5216406,34.91927913,TRUE,-0.81,1.73,0,4045,6.140383258,Upper Domail
84,0.005635789,74.52854645,34.91412366,FALSE,-0.81,1.73,0,4060,6.989341014,Upper Domail
85,0.045357093,74.54360491,34.91449218,FALSE,-0.81,1.73,0,4173,7.970873129,Upper Domail
86,0.217292385,74.52268361,34.84895856,TRUE,-0.81,1.73,0,4018,5.826725821,Jandar Seri
87,0.014106051,74.50773085,34.88268408,FALSE,-0.81,1.73,0,3583,7.822610699,Liam
88,0.029394611,74.57868324,34.92999291,FALSE,-0.81,1.73,0,4287,9.947020458,Upper Domail
89,0.007266541,74.58610155,34.87835345,FALSE,-0.81,1.73,0,3818,10.27537738,Phullawai
90,0.001072802,74.58712869,34.87732973,FALSE,-0.81,1.73,0,3812,10.18300578,Phullawai
91,0.010498989,74.58627554,34.88048022,FALSE,-0.81,1.73,0,3848,10.51036801,Phullawai
92,0.01635248,74.60211252,34.87199342,FALSE,-0.81,1.73,0,3564,9.955939918,Marnat
93,0.009063474,74.65902658,34.87000376,FALSE,-0.81,1.73,0,3567,11.11707008,Marnat
94,0.111364795,74.67585275,34.83949363,FALSE,-0.81,1.73,0,3868,9.373722898,Shundas
95,0.051222856,74.69584546,34.85904898,FALSE,-2.4,1.63,0,4033,12.03506391,Shundas
96,0.248067301,74.6801604,34.90818862,TRUE,-0.81,1.73,0,3865,15.7699659,Marnat
97,0.052792729,74.6612636,34.89459665,FALSE,-0.81,1.73,0,4202,13.65745088,Marnat
98,0.058166805,74.66334375,34.89914626,FALSE,-0.81,1.73,0,4283,14.19674561,Marnat
99,0.015314678,74.66109142,34.89794925,FALSE,-0.81,1.73,0,4289,13.9923003,Marnat
100,0.040081308,74.65523659,34.9089458,FALSE,-0.81,1.73,0,3954,14.93394027,Marnat
101,0.004798301,74.65700038,34.9112918,FALSE,-0.81,1.73,0,3924,15.2338593,Marnat
102,0.022870294,74.67170067,34.91750142,FALSE,-0.81,1.73,0,3685,16.37183743,Marnat
103,0.070218064,74.63777549,34.91427735,FALSE,-0.81,1.73,0,4025,15.05237924,Marnat
104,0.007837067,74.64149452,34.908184,FALSE,-0.81,1.73,0,4235,14.47818121,Marnat
105,0.006702339,74.66943133,34.84968327,FALSE,-0.81,1.73,0,4381,9.789038323,Marnat
106,0.002600632,74.61985869,34.88768104,FALSE,-0.81,1.73,0,4155,11.83586687,Marnat
107,0.013224256,74.70387386,34.93927691,FALSE,-2.4,1.63,0,4407,15.48199613,Chechri Kadal
108,0.001779995,74.69752986,34.94427016,FALSE,-2.4,1.63,0,4401,15.95144706,Chechri Kadal
109,0.002401558,74.70105045,34.94410298,FALSE,-2.4,1.63,0,4430,15.63773897,Chechri Kadal
110,0.037073374,74.70481959,34.94588415,FALSE,-2.4,1.63,0,4502,15.26710603,Chechri Kadal
111,0.004281044,74.69266512,34.92979535,FALSE,-2.4,1.63,0,4256,16.71422409,Chechri Kadal
112,0.001337982,74.7013803,34.93388233,FALSE,-2.4,1.63,0,4326,15.8337268,Chechri Kadal
113,0.000720789,74.70231031,34.93488782,FALSE,-2.4,1.63,0,4342,15.72548154,Chechri Kadal
114,0.014837403,74.67969938,34.94624562,FALSE,-0.81,1.73,0,4045,17.13186613,
115,0.003865366,74.67902526,34.94555156,FALSE,-0.81,1.73,0,4046,17.22808219,
116,0.002970242,74.63292619,34.95850199,FALSE,-0.81,1.73,0,4307,14.3246616,Upper Domail
117,0.014775581,74.62434194,34.9763622,FALSE,-0.81,1.73,0,4090,13.66642136,Upper Domail
118,0.002605537,74.62221615,34.97618927,FALSE,-0.81,1.73,0,4090,13.47191392,Upper Domail
119,0.002370531,74.62260571,34.9750584,FALSE,-0.81,1.73,0,4097,13.49068123,Upper Domail
120,0.009916075,74.62626473,34.97401623,FALSE,-0.81,1.73,0,4118,13.80772852,Upper Domail
121,0.007814578,74.57913492,34.98624845,FALSE,-0.81,1.73,0,4394,9.872051158,Upper Domail
122,0.007036089,74.56810286,34.98634912,FALSE,-0.81,1.73,0,4414,8.921620381,Upper Domail
123,0.045758286,74.72677336,34.98920829,FALSE,-2.4,1.63,0,4331,11.11011987,
124,0.008643049,74.71408814,34.96681237,FALSE,-2.4,1.63,0,4367,13.83196813,
125,0.001655075,74.71904414,34.96831927,FALSE,-2.4,1.63,0,4417,13.53723555,
126,0.002716493,74.71860977,34.96664379,FALSE,-2.4,1.63,0,4418,13.71851879,Darla Bala
127,0.033998073,74.58905736,35.00718898,FALSE,-0.81,1.73,0,4447,11.59525315,Upper Domail
128,0.006086882,74.57130681,35.00818822,FALSE,-0.81,1.73,0,4466,10.24020495,Upper Domail
129,0.008929872,74.64284011,35.03326017,FALSE,-0.81,1.73,0,4561,12.23470059,
130,0.009609989,74.55165716,35.02151992,FALSE,-0.81,1.73,0,4418,9.750440001,Upper Domail
131,0.00712462,74.44605283,35.06650357,FALSE,-0.81,1.73,0,3754,12.17982542,Upper Domail
132,0.001658927,74.4954593,35.05536548,FALSE,-0.81,1.73,0,3851,10.78781447,Upper Domail
133,0.00149061,74.49389571,35.05745938,FALSE,-0.81,1.73,0,3882,10.99515302,Upper Domail
134,0.004357877,74.70881434,35.0983914,FALSE,-2.4,1.63,0,4531,5.016804117,
135,0.00243958,74.68531016,35.0515191,FALSE,-0.81,1.73,0,4234,7.86778267,
136,0.002225349,74.68580173,35.05200085,FALSE,-0.81,1.73,0,4231,7.803048637,
137,0.011703045,74.63480063,35.04426149,FALSE,-0.81,1.73,0,4323,12.3866232,
138,0.045414669,74.56548827,35.16665434,FALSE,-0.81,1.73,0,3749,10.94575719,Yakme
139,0.007681813,74.51519235,35.14988652,FALSE,-0.81,1.73,0,4116,15.8831297,Yakme
140,0.081593171,74.61605261,35.19271716,FALSE,-0.81,1.73,0,3601,5.646343178,Yakme
141,0.144879733,74.78566511,35.33011429,TRUE,1.52,1.06,0,3476,3.175457833,Rama
142,0.002602659,74.77453727,35.3327117,FALSE,1.52,1.06,0,3664,3.582446779,Rama
143,0.002475688,74.77247274,35.33907494,FALSE,1.52,1.06,0,3594,3.297716346,Rama
144,0.007675641,74.7534562,35.32318645,FALSE,1.52,1.06,0,3759,5.726637805,Rama
145,0.00316577,74.75961412,35.33208302,FALSE,1.52,1.06,0,3682,4.699052663,Rama
146,0.166998319,74.67515644,35.3995404,TRUE,5.99,1.02,0,3387,2.800073342,Muthath
147,0.01608893,74.66847493,35.41212792,FALSE,5.99,1.02,0,3108,1.27548072,Muthath
148,0.004986959,74.0523068,34.83389651,FALSE,0.22,1.74,0,3546,10.77230484,Khawaja Seri
149,0.000854494,74.04752147,34.86540498,FALSE,0.22,1.74,0,3814,11.15225638,Bakwali
150,0.05902182,74.05034249,34.8657307,FALSE,0.22,1.74,0,3819,10.89247702,Bakwali
151,0.003372502,74.09311957,34.83634007,FALSE,-0.81,1.73,0,3713,8.293841999,Kharigam
152,0.000671565,74.09156809,34.83716701,FALSE,-0.81,1.73,0,3715,8.460043945,Kharigam
153,0.000522017,74.11346041,34.86356357,FALSE,-0.81,1.73,0,4119,5.399750602,Bakwali
154,0.003418232,74.09757709,34.86017989,FALSE,-0.81,1.73,0,3690,6.884545624,Bakwali
155,0.005699431,74.10550667,34.98459103,FALSE,-0.81,1.73,0,3437,12.70638245,Bakwali
156,0.039218784,74.17846435,35.09351066,FALSE,-0.81,1.73,0,4101,16.88305864,Babusar
157,0.000556991,74.18272625,35.08497822,FALSE,-0.81,1.73,0,4245,17.83386338,Babusar
158,0.000883882,74.17987832,35.08635132,FALSE,-0.81,1.73,0,4207,17.54488218,Babusar
159,0.003667438,74.20178219,35.07265082,FALSE,-0.81,1.73,0,4336,18.97011354,Garul
160,0.046522634,74.1774635,35.0741868,FALSE,-0.81,1.73,0,4042,18.41136806,Babusar
161,0.006053636,74.17690056,35.08390104,FALSE,-0.81,1.73,0,4155,17.56177968,Babusar
162,0.017931692,74.14545526,34.86060714,FALSE,-0.81,1.73,0,3929,3.181874602,Bakwali
163,0.004327633,74.24018039,35.02785494,FALSE,-0.81,1.73,0,4421,16.34855882,
164,0.000968107,74.23841107,35.02842331,FALSE,-0.81,1.73,0,4409,16.51821387,
165,0.000670544,74.23629909,35.15572917,FALSE,-0.81,1.73,0,4590,9.926941049,Garul
166,0.007587649,74.23570024,35.15530164,FALSE,-0.81,1.73,0,4589,9.999210292,Garul
167,0.003334568,74.23666471,35.16099572,FALSE,-0.81,1.73,0,4681,9.532565843,Garul
168,0.004126431,74.23537187,35.17349236,FALSE,-0.81,1.73,0,4690,8.853410865,Garul
169,0.000831677,74.23499267,35.17281798,FALSE,-0.81,1.73,0,4689,8.920970341,Garul
170,0.008332244,74.36086327,34.88031995,FALSE,-0.81,1.73,0,4008,3.857459719,Dogian
171,0.002813905,74.37935923,35.10961563,FALSE,-0.81,1.73,0,4267,12.75233085,Garul
172,0.004169869,74.39931634,35.20127644,FALSE,-0.81,1.73,0,4613,7.3601159,Garul
173,0.002324768,74.39775161,35.21338636,FALSE,-0.81,1.73,0,4418,7.092846785,Garul
174,0.002280068,74.46982972,35.27277642,FALSE,5.99,1.02,0,3898,6.960918454,
175,0.001220265,74.48616708,35.26389096,FALSE,5.99,1.02,0,3991,7.63354319,
176,0.000956787,74.47605463,35.27118854,FALSE,5.99,1.02,0,3926,6.977903144,
177,0.002138409,74.47594082,35.27197844,FALSE,5.99,1.02,0,3917,6.894858005,
178,0.001775073,74.46680745,35.27036937,FALSE,5.99,1.02,0,3878,7.105918478,Sar
