area_km2,longitude,latitude,is_top200,avg_temp_c,avg_precip_mm,label
0.950522097801,74.06189099068479,34.828994407402185,True,0.22,1.74,0
0.0347283610939,74.08633956285273,34.82007919692378,False,-0.81,1.73,0
0.0196932018505,74.07199023959022,34.80645932861167,False,-0.81,1.73,0
0.206074467866,74.07676326029618,34.857496958538555,True,-0.81,1.73,0
0.0213745346461,74.07826220028221,34.861162695247536,False,-0.81,1.73,0
0.000734640465025,74.07709179364501,34.86212170993019,False,-0.81,1.73,0
0.0190912537528,74.08737153994895,34.85647830667501,False,-0.81,1.73,0
0.00389236274648,74.0890004256219,34.91214151537201,False,-0.81,1.73,0
0.00105749811015,74.0898295492042,34.90983313790286,False,-0.81,1.73,0
0.00186755681445,74.07301452796844,34.93985521133399,False,-0.81,1.73,0
0.00106368024984,74.07006201018754,34.94211262211618,False,-0.81,1.73,0
0.00228938290036,74.0810676241032,34.949436336218895,False,-0.81,1.73,0
0.0147965544422,74.08401060219306,34.94963879048158,False,-0.81,1.73,0
0.0064900475907299,74.0868731404215,34.95436443605328,False,-0.81,1.73,0
0.00228999415663,74.07401802640435,34.95673787139146,False,-0.81,1.73,0
0.010953177477,74.07562510094915,34.95714654786407,False,-0.81,1.73,0
0.30004256666,74.10030031735593,34.962238085645964,True,-0.81,1.73,0
0.0279352322911,74.1172849992885,34.95900102046016,False,-0.81,1.73,0
0.0599318222514,74.13008771244999,34.95656773788752,False,-0.81,1.73,0
0.198136871137,74.13842658198038,34.947933563962856,True,-0.81,1.73,0
0.00405275571287,74.14108062879615,34.94333046099704,False,-0.81,1.73,0
0.196994663746,74.1555705973439,34.926238198700645,True,-0.81,1.73,0
0.3007298443289999,74.09028527169714,35.017816701114654,True,-0.81,1.73,0
0.027285303932,74.09652296390435,35.04198724025164,False,-0.81,1.73,0
0.0472142980136,74.11421817003456,35.07012639372615,False,-0.81,1.73,0
0.0221112352687,74.1048330393943,35.073084809357105,False,-0.81,1.73,0
0.0261233950126,74.12869150880492,35.08034104324646,False,-0.81,1.73,0
0.0207523676826,74.14808282904207,35.0914012052797,False,-0.81,1.73,0
0.00715116977928,74.12440704876285,35.10436818415501,False,-0.81,1.73,0
0.00521821755665,74.14455503958831,35.121155457311424,False,-0.81,1.73,0
0.0264027894607,74.218798521531,35.10494893797685,False,-0.81,1.73,0
0.0023614461503,74.21838498985858,35.10289112608608,False,-0.81,1.73,0
0.00869916053374,74.21697415642326,35.100452161045204,False,-0.81,1.73,0
0.00174151271608,74.21504602560425,35.1008089319209,False,-0.81,1.73,0
0.0030236900520899,74.19078404699076,35.096623955545965,False,-0.81,1.73,0
0.0268283553923,74.19835689201052,35.087569426754555,False,-0.81,1.73,0
0.0259987306997999,74.22515597793678,35.07046505222615,False,-0.81,1.73,0
0.0169786438976,74.22254698718868,35.062033999688126,False,-0.81,1.73,0
0.028634278814,74.18089310584745,35.03726559396005,False,-0.81,1.73,0
0.00243905681886,74.19138381467431,35.03883491844536,False,-0.81,1.73,0
0.023585798137,74.14694607992595,35.04657285376936,False,-0.81,1.73,0
0.0649020281506,74.15042157045946,35.050897641624886,False,-0.81,1.73,0
0.00182620907508,74.14603748859034,35.04954781653248,False,-0.81,1.73,0
0.00580390839218,74.28289021253165,34.85935138169624,False,-0.81,1.73,0
0.00740013738791,74.28176517725711,34.863842747154216,False,-0.81,1.73,0
0.0472863292372,74.27045377425331,34.864819011070004,False,-0.81,1.73,0
0.0101925333695,74.26972955943067,34.86807654847641,False,-0.81,1.73,0
0.0055454808397,74.2725827918697,34.871075464091604,False,-0.81,1.73,0
0.00722089800453,74.27250737891272,34.87339805664732,False,-0.81,1.73,0
0.00966915864197,74.28104921592893,34.877309495768515,False,-0.81,1.73,0
0.0183237996384,74.28734100902757,34.87807077520177,False,-0.81,1.73,0
0.000550487644993,74.28819034702275,34.87775436085701,False,-0.81,1.73,0
0.00458530834978,74.29165841862208,34.880891907187134,False,-0.81,1.73,0
0.00999242298803,74.29315391877456,34.88257618730042,False,-0.81,1.73,0
0.00271321852763,74.25739938377177,34.86961774560145,False,-0.81,1.73,0
0.0961596550019,74.25014739948098,34.87386470084108,False,-0.81,1.73,0
0.0421448514459,74.24740011156446,34.87954238828803,False,-0.81,1.73,0
0.0451354238666,74.28595575655308,34.889687357793896,False,-0.81,1.73,0
0.0077449757484,74.30421111985774,34.95925824339192,False,-0.81,1.73,0
0.00151944917231,74.32756059401704,34.96456666109515,False,-0.81,1.73,0
0.00753132252083,74.29220131627626,35.00268236108364,False,-0.81,1.73,0
0.00132421918402,74.27956098651421,35.032182492445216,False,-0.81,1.73,0
