source_row_number,source_polygon_id,lake_id,canonical_lake_id,processed_sample_id,latitude,longitude,reference_area_km2,elevation_m,distance_to_nearest_settlement_km,source_centroid_latitude,source_centroid_longitude,source_area_km2,geometry_sha256,source_geometry_valid,source_validation_warning,reconciliation_status,reconciliation_reason,eligible_for_processing
20,20,PKGL-00020,PKGL-00020,20,34.94793356,74.13842658,0.198136871,4014.0,7.7649240622901425,34.94793353069189,74.13842659596857,0.19813687113700001,7d76bab654e77faa7eaa685a13cc9b3c49fec4678b0863ceb2aba35fb6263244,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
21,21,PKGL-00021,PKGL-00021,21,34.94333046,74.14108063,0.004052756,4017.0,7.201095367745099,34.9433304605888,74.14108062945955,0.00405275571287,b3a98757ffde78659d57a8500c3f6b4c3002edc6059102d3c335543bf426448b,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
22,22,PKGL-00022,PKGL-00022,22,34.9262382,74.1555706,0.196994664,3926.0,4.999537423882604,34.92623818643231,74.15557059633694,0.196994663746,3fe8b759b4cdbecadc6f3930507a32ce6cb49ebf5437161739caa928eb9522b3,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
23,23,PKGL-00023,PKGL-00023,23,35.0178167,74.09028527,0.300729844,3893.0,14.084989282670032,35.01781669829906,74.09028529290494,0.30072984432899996,5222521cedb5d531a4611709911f2bb746a72a655e0dc8e67defca02da6a8791,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
24,24,PKGL-00024,PKGL-00024,24,35.04198724,74.09652296,0.027285304,3977.0,15.247764046547935,35.041987239584145,74.09652296428067,0.027285303932,ed08aab4a2aef39e5e5980012238561b43ca0d3595fae63085cdefbfe0289ee7,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
25,25,PKGL-00025,PKGL-00025,25,35.07012639,74.11421817,0.047214298,4196.0,15.78347650204513,35.07012639297767,74.1142181726978,0.0472142980136,cdd9c4c7d2f885942ac203acc3c8483bb6d6229bb3f4a04efe74bcadee233d0b,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
26,26,PKGL-00026,PKGL-00026,26,35.07308481,74.10483304,0.022111235,4027.0,15.166294475142164,35.07308480934795,74.10483303745193,0.0221112352687,ca596ea7a58273861a116f0d7424a92d13c7a71e4081a9965ab09f5eb607bce6,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
27,27,PKGL-00027,PKGL-00027,27,35.08034104,74.12869151,0.026123395,4173.0,15.32944175887509,35.08034104436851,74.12869150692586,0.0261233950126,aefb886316aa90776562b858abef9ab857032fe826365959af66ee1903776b75,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
28,28,PKGL-00028,PKGL-00028,28,35.09140121,74.14808283,0.020752368,4316.0,15.25042664101052,35.09140120406376,74.1480828293048,0.0207523676826,40abbb2a962d5dfbebc2507f0616278b851416e27a602b205b80279a9b7964ee,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
29,29,PKGL-00029,PKGL-00029,29,35.10436818,74.12440705,0.00715117,4186.0,12.834382235464192,35.10436818421617,74.12440704808574,0.00715116977928,d3716bb654d01e906e57d0bb8d12d18b900522e9897ca458146236ebaca49eee,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
