event_id,run_id,lake_id,source,attempt_number,occurred_at,error_type,error_message
1aff5a55b77341d83931dc505a00fcbb4fb942598a4f21c187f466e65aac52b0,865450ad14266a42adf4,PKGL-05740,Sentinel-2,1,2026-09-01T06:44:46.032260+00:00,ProviderError,"ProviderError: Sentinel-2 reduction failed for PKGL-05740 <- ConnectionError: HTTPSConnectionPool(host='earthengine.googleapis.com', port=443): Max retries exceeded with url: /v1/projects/glof-project00/value:compute?prettyPrint=false&alt=json (Caused by NameResolutionError(""HTTPSConnection(host='earthengine.googleapis.com', port=443): Failed to resolve 'earthengine.googleapis.com' ([Errno 11001] getaddrinfo failed)"")) <- ConnectionError: HTTPSConnectionPool(host='earthengine.googleapis.com', port=443): Max retries exceeded with url: /v1/projects/glof-project00/value:compute?prettyPrint=false&alt=json (Caused by NameResolutionError(""HTTPSConnection(host='earthengine.googleapis.com', port=443): Failed to resolve 'earthengine.googleapis.com' ([Errno 11001] getaddrinfo failed)""))"
ec25b3a27aba87bf248d4d7c15e628f2f07e2fdabd504bf35ca352e56da2b3b6,865450ad14266a42adf4,PKGL-05740,Sentinel-2,2,2026-09-01T06:46:03.084100+00:00,ProviderError,"ProviderError: Sentinel-2 scene lookup failed for PKGL-05740 <- ConnectionError: HTTPSConnectionPool(host='earthengine.googleapis.com', port=443): Max retries exceeded with url: /v1/projects/glof-project00/value:compute?prettyPrint=false&alt=json (Caused by NameResolutionError(""HTTPSConnection(host='earthengine.googleapis.com', port=443): Failed to resolve 'earthengine.googleapis.com' ([Errno 11001] getaddrinfo failed)"")) <- ConnectionError: HTTPSConnectionPool(host='earthengine.googleapis.com', port=443): Max retries exceeded with url: /v1/projects/glof-project00/value:compute?prettyPrint=false&alt=json (Caused by NameResolutionError(""HTTPSConnection(host='earthengine.googleapis.com', port=443): Failed to resolve 'earthengine.googleapis.com' ([Errno 11001] getaddrinfo failed)""))"
