OBJECTID_1,Id,OBJECTID,Shape_Leng,Shape_Le_1,Shape_Area,area_km2,longitude,latitude,is_top200,avg_temp_c,avg_precip_mm,label
1,0,0,0.0,4734.65506936,950522.097801,0.9505220978009999,74.06189099068479,34.828994407402185,True,0.22,1.74,0
2,0,0,0.0,806.707326253,34728.3610939,0.0347283610939,74.08633956285273,34.82007919692378,False,-0.81,1.73,0
3,0,0,0.0,1202.06335664,19693.2018505,0.0196932018505,74.07199023959022,34.80645932861167,False,-0.81,1.73,0
4,0,0,0.0,2016.00542965,206074.467866,0.206074467866,74.07676326029618,34.857496958538555,True,-0.81,1.73,0
5,0,0,0.0,568.308747362,21374.5346461,0.0213745346461,74.07826220028221,34.861162695247536,False,-0.81,1.73,0
6,0,0,0.0,99.6326057942,734.640465025,0.000734640465025,74.07709179364501,34.86212170993019,False,-0.81,1.73,0
7,0,0,0.0,557.755691925,19091.2537528,0.0190912537528,74.08737153994895,34.85647830667501,False,-0.81,1.73,0
8,0,0,0.0,232.793734128,3892.36274648,0.00389236274648,74.0890004256219,34.91214151537201,False,-0.81,1.73,0
9,0,0,0.0,125.448842132,1057.49811015,0.00105749811015,74.0898295492042,34.90983313790286,False,-0.81,1.73,0
10,0,0,0.0,176.545087351,1867.55681445,0.00186755681445,74.07301452796844,34.93985521133399,False,-0.81,1.73,0
11,0,0,0.0,132.234454836,1063.68024984,0.00106368024984,74.07006201018754,34.94211262211618,False,-0.81,1.73,0
12,0,0,0.0,185.048597554,2289.38290036,0.00228938290036,74.0810676241032,34.949436336218895,False,-0.81,1.73,0
13,0,0,0.0,519.263438627,14796.5544422,0.0147965544422,74.08401060219306,34.94963879048158,False,-0.81,1.73,0
14,0,0,0.0,345.053606976,6490.04759073,0.006490047590729999,74.0868731404215,34.95436443605328,False,-0.81,1.73,0
15,0,0,0.0,174.132470622,2289.99415663,0.00228999415663,74.07401802640435,34.95673787139146,False,-0.81,1.73,0
16,0,0,0.0,404.31947841,10953.177477,0.010953177477,74.07562510094915,34.95714654786407,False,-0.81,1.73,0
17,0,0,0.0,2896.74078053,300042.56666,0.30004256666,74.10030031735593,34.962238085645964,True,-0.81,1.73,0
