precision,recall,f1,pr_auc,roc_auc,true_negatives,false_positives,false_negatives,true_positives,threshold,validation_precision,validation_recall,validation_f1,validation_pr_auc,validation_roc_auc,train_rows,validation_rows,test_rows,train_positives,validation_positives,test_positives,class_weight_0,class_weight_1,annual_growth_training_median,epochs_trained,features,feature_count,variant,variant_description,algorithm,label_status,geographic_cv_folds,geographic_cv_pr_auc_mean,geographic_cv_pr_auc_std,geographic_cv_pr_auc_min,geographic_cv_pr_auc_max,geographic_cv_roc_auc_mean,geographic_cv_roc_auc_std
0.4,0.375,0.3870967741935484,0.33908243826117523,0.6836746008279124,1655,36,40,24,0.9403149882958592,0.625,0.3333333333333333,0.43478260869565216,0.29559222897887955,0.7980449657869013,5271,1780,1755,212,75,64,0.520952757461949,12.431603773584905,0.0,,area;temperature;rainfall;elevation;distance_to_nearest_settlement_km;longitude;latitude;annual_area_change_km2_per_year;growth_data_available,9,Model A,"All non-redundant numeric features, including coordinates and growth",Logistic Regression,experimental_proxy_unverified,3.0,0.22855103482116787,0.15585861646709986,0.053232321464284874,0.35141578721111716,0.7798571973639256,0.1088606661797025
1.0,0.359375,0.5287356321839081,0.46526913703564454,0.676194744234181,1691,0,41,23,0.6820845768885397,0.23222748815165878,0.6533333333333333,0.34265734265734266,0.17576449177578116,0.8844887585532748,5271,1780,1755,212,75,64,0.520952757461949,12.431603773584905,0.0,,area;temperature;rainfall;elevation;distance_to_nearest_settlement_km;longitude;latitude;annual_area_change_km2_per_year;growth_data_available,9,Model A,"All non-redundant numeric features, including coordinates and growth",Random Forest,experimental_proxy_unverified,3.0,0.12037185994450546,0.060752675226483574,0.06645782245495299,0.1861984679378953,0.7630041456306452,0.10431155398961145
0.92,0.359375,0.5168539325842697,0.4320634443284379,0.8669888379657007,1689,2,41,23,0.8493220806121826,0.5,0.37333333333333335,0.42748091603053434,0.1962470439693602,0.8171573802541545,5271,1780,1755,212,75,64,0.520952757461949,12.431603773584905,0.0,60.0,area;temperature;rainfall;elevation;distance_to_nearest_settlement_km;longitude;latitude;annual_area_change_km2_per_year;growth_data_available,9,Model A,"All non-redundant numeric features, including coordinates and growth",ANN,experimental_proxy_unverified,3.0,0.1322101822648294,0.10286152016678965,0.041698806655559764,0.24407112883340232,0.7176458336511525,0.12419413830263841
0.4067796610169492,0.375,0.3902439024390244,0.32746293282786765,0.6670239503252513,1656,35,40,24,0.9381839270027162,0.625,0.3333333333333333,0.43478260869565216,0.2918567704525646,0.795503421309873,5271,1780,1755,212,75,64,0.520952757461949,12.431603773584905,0.0,,area;temperature;rainfall;elevation;distance_to_nearest_settlement_km;annual_area_change_km2_per_year;growth_data_available,7,Model B,Model A without latitude and longitude,Logistic Regression,experimental_proxy_unverified,3.0,0.23488149892671376,0.11798342014067206,0.11438604615976636,0.35018121732643154,0.8366326742561068,0.039271462396091715
0.92,0.359375,0.5168539325842697,0.46127034025804564,0.6436095505617978,1689,2,41,23,0.4775017600223155,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.12689783844482785,0.8261505376344086,5271,1780,1755,212,75,64,0.520952757461949,12.431603773584905,0.0,,area;temperature;rainfall;elevation;distance_to_nearest_settlement_km;annual_area_change_km2_per_year;growth_data_available,7,Model B,Model A without latitude and longitude,Random Forest,experimental_proxy_unverified,3.0,0.10886860809042327,0.04310182342636953,0.07672501911431467,0.1578472323935658,0.7998934954300427,0.05189407700622433
0.8275862068965517,0.375,0.5161290322580645,0.35489821644296204,0.7219193524541692,1686,5,40,24,0.800742506980896,0.3246753246753247,0.3333333333333333,0.32894736842105265,0.14671629740334222,0.7842737047898338,5271,1780,1755,212,75,64,0.520952757461949,12.431603773584905,0.0,36.0,area;temperature;rainfall;elevation;distance_to_nearest_settlement_km;annual_area_change_km2_per_year;growth_data_available,7,Model B,Model A without latitude and longitude,ANN,experimental_proxy_unverified,3.0,0.18957975150230702,0.12119460187573719,0.11795232470342754,0.3295100597435241,0.7918741180189005,0.06535643099209879
0.38095238095238093,0.375,0.3779527559055118,0.35313666286407963,0.7916635866351271,1652,39,40,24,0.9339083855873108,0.7352941176470589,0.6666666666666666,0.6993006993006993,0.5015980921486815,0.8701935483870967,5271,1780,1755,212,75,64,0.520952757461949,12.431603773584905,,,area;temperature;rainfall;elevation;distance_to_nearest_settlement_km;longitude;latitude,7,Model C,"Core model without annual growth, using all samples",Logistic Regression,experimental_proxy_unverified,3.0,0.2084356082567366,0.14999524854264326,0.053591825055786184,0.3530596329214392,0.7791451109587703,0.10646259639947843
1.0,0.359375,0.5287356321839081,0.46670227476709697,0.6971189384979303,1691,0,41,23,0.8486403793562557,0.7083333333333334,0.22666666666666666,0.3434343434343434,0.33186747267798783,0.8684809384164223,5271,1780,1755,212,75,64,0.520952757461949,12.431603773584905,,,area;temperature;rainfall;elevation;distance_to_nearest_settlement_km;longitude;latitude,7,Model C,"Core model without annual growth, using all samples",Random Forest,experimental_proxy_unverified,3.0,0.12183150508772118,0.061776959117311764,0.062141471305120266,0.18550280729171864,0.756572133460036,0.12637778783898931
0.96,0.375,0.5393258426966292,0.4294179841846887,0.8803684949733885,1690,1,40,24,0.7595754861831665,0.19615384615384615,0.68,0.3044776119402985,0.11809934083335072,0.8225767350928641,5271,1780,1755,212,75,64,0.520952757461949,12.431603773584905,,36.0,area;temperature;rainfall;elevation;distance_to_nearest_settlement_km;longitude;latitude,7,Model C,"Core model without annual growth, using all samples",ANN,experimental_proxy_unverified,3.0,0.1827674153850364,0.1877951972581715,0.044993635201521845,0.39667439109838615,0.7339231477829095,0.11114490364661461
0.058823529411764705,0.037037037037037035,0.045454545454545456,0.10362549156557957,0.6397306397306397,325,16,26,1,0.574383326244059,0.24113475177304963,0.68,0.35602094240837695,0.1678470945455713,0.7904085257548845,2214,613,368,28,50,27,0.5064043915827996,39.535714285714285,0.0,,area;temperature;rainfall;elevation;distance_to_nearest_settlement_km;longitude;latitude;annual_area_change_km2_per_year,8,Model D,Experimental model using only rows with observed growth,Logistic Regression,experimental_proxy_unverified,3.0,0.12135341230555818,0.0855667359009544,0.06506200833268311,0.21982069470523458,0.7376351232620103,0.1845710943486208
