sample_id,area,longitude,latitude,is_top200,temperature,rainfall,label,elevation,distance_to_nearest_settlement_km,annual_area_change_km2_per_year,growth_data_available,label_source,matched_event_id,matched_event_name,match_distance_km,matched_reference_row,label_method,label_provenance_status,geographic_group_025deg
21,0.004052756,74.14108063,34.94333046,0,-0.81,1.73,0,4017,7.201095367745099,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,61.90242317684087,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
22,0.196994664,74.1555706,34.9262382,1,-0.81,1.73,0,3926,4.999537423882604,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,61.80021521345309,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
23,0.300729844,74.09028527,35.0178167,1,-0.81,1.73,0,3893,14.084989282670032,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,62.29052285285201,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
24,0.027285304,74.09652296,35.04198724,0,-0.81,1.73,0,3977,15.247764046547935,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,60.776253393019786,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
25,0.047214298,74.11421817,35.07012639,0,-0.81,1.73,0,4196,15.78347650204513,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,58.2200425264098,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
26,0.022111235,74.10483304,35.07308481,0,-0.81,1.73,0,4027,15.166294475142164,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,58.93411344765429,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
27,0.026123395,74.12869151,35.08034104,0,-0.81,1.73,0,4173,15.32944175887509,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,56.61674370682543,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
28,0.020752368,74.14808283,35.09140121,0,-0.81,1.73,0,4316,15.25042664101052,0.0,1,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,54.56553685264893,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
29,0.00715117,74.12440705,35.10436818,0,-0.81,1.73,0,4186,12.834382235464192,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,56.25253879938519,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
30,0.005218218,74.14455504,35.12115546,0,-0.81,1.73,0,4261,12.528372943318962,0.0,1,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,54.018711444884495,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
31,0.026402789,74.21879852,35.10494894,0,-0.81,1.73,0,4404,15.150406443992305,0.0,1,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,47.96003359167257,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
32,0.002361446,74.21838499,35.10289113,0,-0.81,1.73,0,4428,15.35575252264189,0.0,1,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,48.064137028508114,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
33,0.008699161,74.21697416,35.10045216,0,-0.81,1.73,0,4448,15.64989089506585,0.0,1,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,48.26861901085831,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
34,0.001741513,74.21504603,35.10080893,0,-0.81,1.73,0,4442,15.723476878284991,0.0,1,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,48.424076885744995,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
35,0.00302369,74.19078405,35.09662396,0,-0.81,1.73,0,4348,17.458087429736104,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,50.673418959563605,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
36,0.026828355,74.19835689,35.08756943,0,-0.81,1.73,0,4376,17.816934641190024,0.0,1,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,50.32819173334055,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
37,0.025998731,74.22515598,35.07046505,0,-0.81,1.73,0,4408,18.06892269686112,0.0,1,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,48.690353888244736,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
38,0.016978644,74.22254699,35.062034,0,-0.81,1.73,0,4398,19.008100639419546,0.0,1,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,49.26404210174259,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
39,0.028634279,74.18089311,35.03726559,0,-0.81,1.73,0,4025,17.255278254499746,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,53.84021869376713,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
40,0.002439057,74.19138381,35.03883492,0,-0.81,1.73,0,3824,17.519842175783744,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,52.894657720601586,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
41,0.023585798,74.14694608,35.04657285,0,-0.81,1.73,0,4196,18.350606486939,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,56.29946936882632,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
42,0.064902028,74.15042157,35.05089764,0,-0.81,1.73,0,4200,18.79931181248632,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,55.829019314905175,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
43,0.001826209,74.14603749,35.04954782,0,-0.81,1.73,0,4198,18.68830684518336,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,56.25606937158174,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_296
44,0.005803908,74.28289021,34.85935138,0,-0.81,1.73,0,4050,7.236086728588514,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,57.56927336432837,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
45,0.007400137,74.28176518,34.86384275,0,-0.81,1.73,0,4216,7.456155085660781,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,57.28366201374282,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
46,0.047286329,74.27045377,34.86481901,0,-0.81,1.73,0,4067,6.7998071117052445,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,57.935534670213805,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
47,0.010192533,74.26972956,34.86807655,0,-0.81,1.73,0,4130,6.699930007298888,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,57.72863396573294,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
48,0.005545481,74.27258279,34.87107546,0,-0.81,1.73,0,4269,6.945837638436641,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,57.309394196231,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
49,0.007220898,74.27250738,34.87339806,0,-0.81,1.73,0,4306,6.939245857855719,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,57.13418594434996,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
50,0.009669159,74.28104922,34.8773095,0,-0.81,1.73,0,4099,7.738254445191524,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,56.272523644917754,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
51,0.0183238,74.28734101,34.87807078,0,-0.81,1.73,0,3993,7.579852066728107,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,55.804066169750286,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
52,0.000550488,74.28819035,34.87775436,0,-0.81,1.73,0,3998,7.494966222385707,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,55.773820146976256,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
53,0.004585308,74.29165842,34.88089191,0,-0.81,1.73,0,3895,7.397117773576461,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,55.30353456766856,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
54,0.009992423,74.29315392,34.88257619,0,-0.81,1.73,0,3888,7.384251653891601,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,55.07481122336637,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
