lake_id,observed_at,area_km2,cloud_percentage,clear_fraction,quality_status,source_image_id,water_index,source,is_mock,rejection_reason,ingested_at
PKGL-03152,2026-08-29T05:49:03.488000+00:00,,4.984,0.9502,REJECTED,20260829T053639_20260829T054427_T43SFV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:51:37.286800+00:00
PKGL-01281,2026-08-17T05:58:56.348000+00:00,0.0072022053804013785,7.382,1.0,RELIABLE,20260817T054631_20260817T055709_T43SCA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:51:48.211833+00:00
PKGL-02102,2026-08-29T05:49:03.488000+00:00,,1.963,1.0,REJECTED,20260829T053639_20260829T054427_T43SFV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:51:56.067365+00:00
PKGL-05740,2026-08-29T05:59:05.939000+00:00,,51.512,0.4849,REJECTED,20260829T055251_20260829T055252_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:52:12.154102+00:00
PKGL-00088,2026-08-29T05:59:38.677000+00:00,0.03843263009399879,32.495,0.8566,RELIABLE,20260829T055251_20260829T055252_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:52:15.186751+00:00
PKGL-02332,2026-08-29T05:49:17.997000+00:00,0.003601709415264116,2.735,0.9727,RELIABLE,20260829T053639_20260829T054427_T43SFU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:52:18.157908+00:00
PKGL-08633,2026-08-27T05:59:16.484000+00:00,0.00040032559644760017,29.422,0.7058,RELIABLE,20260827T054631_20260827T055705_T43SEU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:52:26.917732+00:00
PKGL-00850,2026-08-30T06:09:12.376000+00:00,,16.699,0.9907,REJECTED,20260830T055631_20260830T055743_T42SYE,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:52:41.373825+00:00
PKGL-06317,2026-08-29T05:48:52.285000+00:00,0.0008003631397584875,12.612,1.0,RELIABLE,20260829T053639_20260829T054427_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:52:44.417587+00:00
PKGL-05948,2026-08-29T05:59:05.939000+00:00,0.011205624221944871,17.484,0.8252,RELIABLE,20260829T055251_20260829T055252_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:52:48.123230+00:00
