lake_id,name,latitude,longitude,elevation_m,distance_to_nearest_settlement_km,reference_area_km2,updated_at
PKGL-00046,,34.86481901,74.27045377,4067.0,6.7998071117052445,0.047286329,2026-09-01T06:54:27.896595+00:00
PKGL-00047,,34.86807655,74.26972956,4130.0,6.699930007298888,0.010192533,2026-09-01T06:54:27.896595+00:00
PKGL-00048,,34.87107546,74.27258279,4269.0,6.945837638436641,0.005545481,2026-09-01T06:54:27.896595+00:00
PKGL-00049,,34.87339806,74.27250738,4306.0,6.939245857855719,0.007220898,2026-09-01T06:54:27.896595+00:00
PKGL-00050,,34.8773095,74.28104922,4099.0,7.738254445191524,0.009669159,2026-09-01T06:54:27.896595+00:00
PKGL-00051,,34.87807078,74.28734101,3993.0,7.579852066728107,0.0183238,2026-09-01T06:54:27.896595+00:00
PKGL-00052,,34.87775436,74.28819035,3998.0,7.494966222385707,0.000550488,2026-09-01T06:54:27.896595+00:00
PKGL-00053,,34.88089191,74.29165842,3895.0,7.397117773576461,0.004585308,2026-09-01T06:54:27.896595+00:00
PKGL-00054,,34.88257619,74.29315392,3888.0,7.384251653891601,0.009992423,2026-09-01T06:54:27.896595+00:00
PKGL-00055,,34.86961775,74.25739938,4157.0,5.566806078079532,0.002713219,2026-09-01T06:54:27.896595+00:00
PKGL-00056,,34.8738647,74.2501474,4039.0,4.901734092009392,0.096159655,2026-09-01T06:54:27.896595+00:00
PKGL-00057,,34.87954239,74.24740011,3950.0,4.7194682970262285,0.042144851,2026-09-01T06:54:27.896595+00:00
PKGL-00058,,34.88968736,74.28595576,4155.0,8.374722813457627,0.045135424,2026-09-01T06:54:27.896595+00:00
PKGL-00059,,34.95925824,74.30421112,4187.0,11.492084998891896,0.007744976,2026-09-01T06:54:27.896595+00:00
PKGL-00060,,34.96456666,74.32756059,4163.0,10.065763139485387,0.001519449,2026-09-01T06:54:27.896595+00:00
PKGL-00061,,35.00268236,74.29220132,4189.0,15.28754284949229,0.007531323,2026-09-01T06:54:27.896595+00:00
PKGL-00062,,35.03218249,74.27956099,4443.0,18.45283514570992,0.001324219,2026-09-01T06:54:27.896595+00:00
