source_row_number,source_polygon_id,lake_id,canonical_lake_id,processed_sample_id,latitude,longitude,reference_area_km2,elevation_m,distance_to_nearest_settlement_km,source_centroid_latitude,source_centroid_longitude,source_area_km2,geometry_sha256,source_geometry_valid,source_validation_warning,reconciliation_status,reconciliation_reason,eligible_for_processing
7908,7908,PKGL-07906,PKGL-07906,7906,35.22030266,73.61973361,0.130327563,4068.0,15.26565438265138,35.220302658383936,73.61973362905907,0.13032756279399998,2ee161502e92cdcb79c0b2db49406fb6259ce7868a4f0381d6d5cf68b4218b8d,False,Ring Self-intersection[374247.2395 3898277.8133],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
7921,7921,PKGL-07919,PKGL-07919,7919,35.08799865,73.29164086,0.363757526,4061.0,9.63363317705478,35.08799856107772,73.29164083704671,0.36375752632,a7b857c55d627f28157a4d54682fb81f9366df04f79df7eb499037d1c21d9b15,False,Ring Self-intersection[344177.6548 3883633.7246],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
7925,7925,PKGL-07923,PKGL-07923,7923,34.94899277,73.21055878,0.009585206,3811.0,7.009973568241295,34.9489927635299,73.21055878059522,0.00958520581847,08eeff576198adbf9de7cefd12d16542a83ecd18513d1b57e195ffc89af5dea8,False,Ring Self-intersection[336591.3568 3868804.444],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
7933,7933,PKGL-07931,PKGL-07931,7931,35.38509461,73.38705873,0.038575474,4139.0,14.980740099139638,35.38509460938065,73.38705872950587,0.038575473589,725c0cac15cc069cd65d3e51366d6a7ab860cd816d40c291bee6eff674588587,False,Ring Self-intersection[353595.8954 3916981.3792],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
7966,7966,PKGL-07964,PKGL-07964,7964,35.1409723,73.65513107,0.027930195,4153.0,17.922551104339938,35.14097229452823,73.6551310653114,0.0279301953086,8b4873caadf1435f13c65a2f9c4b8e74a2143df1a5f43f7976bea0a0ba0edacf,False,Ring Self-intersection[377398.1411 3889496.0986],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
7970,7970,PKGL-07968,PKGL-07968,7968,35.10540031,73.57030293,0.037207085,3292.0,12.402145110250892,35.10540030631868,73.57030293019858,0.0372070845394,86d0b99ebfb3cb6abfc488b7afd6c846046c810e53f9c93778d7ce48a50998f2,False,Ring Self-intersection[369741.8261 3885607.8751],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
8069,8069,PKGL-08067,PKGL-08067,8067,35.08230224,73.99146187,0.097576741,4064.0,10.42126762240084,35.08230223368756,73.99146189616022,0.0975767414835,4a2c4e6b462e6d8ed6c43fed4593abca2611a38babee2e2087c6fdb1be391bc0,False,Self-intersection[407877.210177386 3882831.08438942],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
8112,8112,PKGL-08110,PKGL-08110,8110,34.90873111,74.02562906,0.144770352,4142.0,12.939205032725283,34.9087311093214,74.02562905188475,0.144770351886,3ac01fb9e77dbce6ff734884498c049fcb3452af9afc95cc4d8a6bb5ef8f6c53,False,Self-intersection[411120.48689167 3863414.35775614],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
8146,8146,PKGL-08144,PKGL-08144,8144,34.8378696,73.94803936,0.011325663,4025.0,13.363049023592534,34.83786959866181,73.94803935491356,0.011325663246300001,f31253c912913b1394b86d8ab6dbc91df0a941afc69a4347c56eec77860c4b8f,False,Self-intersection[403780.419989762 3855488.70431292],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
8157,8157,PKGL-08155,PKGL-08155,8155,35.00970974,73.81542847,0.044016699,4104.0,9.454184085251734,35.00970974013017,73.81542846291548,0.044016699127699996,df2a5bc7ba3da06d4ccd06f2fc1ef751376fef64e9202828d01044a8b38f5359,False,Self-intersection[391897.705908984 3874875.92867863],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
8375,8375,PKGL-08373,PKGL-08373,8373,35.37357096,75.14001807,0.009229072,4324.0,12.567946512353744,35.3735709595428,75.14001806978993,0.00922907158999,8371de177b9190e816cd0d41beaf58df7ddd290f15a2039f512a802804b3cf57,False,Self-intersection[512688.401992092 3914493.04843085],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
8445,8445,PKGL-08443,PKGL-08443,8443,35.04873112,75.198198,0.119556853,4397.0,8.83818805172746,35.04873109895685,75.19819800469821,0.119556853339,077af96f26b53ef3f370535909a00cc42f99e28397db0f85b0862dc5a46ae8e9,False,Self-intersection[517938.972659696 3878642.96005758],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
8467,8467,PKGL-08465,PKGL-08465,8465,34.67795783,75.15732648,0.058397987,4238.0,14.386492328186712,34.677957816805666,75.15732647847095,0.0583979871983,071caade109b85befdb9da37784c3b94293741c4e63cc0bc122febc76ef79af4,False,Self-intersection[514352.988342215 3837487.67202374],INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
