latitude,longitude,area_km2,is_top200
34.828994407402185,74.06189099068479,0.9505220978009999,True
34.82007919692378,74.08633956285273,0.0347283610939,False
34.80645932861167,74.07199023959022,0.0196932018505,False
34.857496958538555,74.07676326029618,0.206074467866,True
34.861162695247536,74.07826220028221,0.0213745346461,False
34.86212170993019,74.07709179364501,0.000734640465025,False
34.85647830667501,74.08737153994895,0.0190912537528,False
34.91214151537201,74.0890004256219,0.00389236274648,False
34.90983313790286,74.0898295492042,0.00105749811015,False
34.93985521133399,74.07301452796844,0.00186755681445,False
34.94211262211618,74.07006201018754,0.00106368024984,False
34.949436336218895,74.0810676241032,0.00228938290036,False
34.94963879048158,74.08401060219306,0.0147965544422,False
34.95436443605328,74.0868731404215,0.006490047590729999,False
34.95673787139146,74.07401802640435,0.00228999415663,False
34.95714654786407,74.07562510094915,0.010953177477,False
34.962238085645964,74.10030031735593,0.30004256666,True
34.95900102046016,74.1172849992885,0.027935232291100003,False
34.95656773788752,74.13008771244999,0.0599318222514,False
34.947933563962856,74.13842658198038,0.19813687113700001,True
34.94333046099704,74.14108062879615,0.00405275571287,False
34.926238198700645,74.1555705973439,0.196994663746,True
35.017816701114654,74.09028527169714,0.30072984432899996,True
35.04198724025164,74.09652296390435,0.027285303932,False
35.07012639372615,74.11421817003456,0.0472142980136,False
35.073084809357105,74.1048330393943,0.0221112352687,False
35.08034104324646,74.12869150880492,0.0261233950126,False
35.0914012052797,74.14808282904207,0.0207523676826,False
35.10436818415501,74.12440704876285,0.00715116977928,False
35.121155457311424,74.14455503958831,0.00521821755665,False
35.10494893797685,74.218798521531,0.026402789460700002,False
35.10289112608608,74.21838498985858,0.0023614461503000004,False
35.100452161045204,74.21697415642326,0.00869916053374,False
35.1008089319209,74.21504602560425,0.00174151271608,False
35.096623955545965,74.19078404699076,0.0030236900520899997,False
35.087569426754555,74.19835689201052,0.0268283553923,False
35.07046505222615,74.22515597793678,0.025998730699799997,False
35.062033999688126,74.22254698718868,0.0169786438976,False
35.03726559396005,74.18089310584745,0.028634278814000002,False
35.03883491844536,74.19138381467431,0.00243905681886,False
