latitude,longitude,area_km2,avg_temp_c,avg_precip_mm
36.32183326506048,74.85702198190165,3.93064938235,-5.46,0.51
36.87936030749258,73.70412691542481,2.65352383804,-5.97,0.31
35.23008246746566,75.63054642554606,2.2134785607599996,-2.54,1.23
35.99441425602487,72.61268886431793,2.02433406849,-2.76,0.9
35.91196825878993,72.33440196056385,1.6181839709699999,-2.76,0.9
34.99102589573781,75.23636950972455,1.27767632562,-2.4,1.63
36.078366141652154,72.5355194128665,1.12913004452,-2.76,0.9
36.644066715002616,73.64614996031855,1.06236902818,-0.87,0.45
35.94423359761439,72.59433924024296,1.02627603874,-2.76,0.9
35.0817962806663,73.92884111383685,0.950687387171,0.22,1.74
34.828994407402185,74.06189099068479,0.9505220978009999,0.22,1.74
35.86461531971339,73.74548554801208,0.870225556364,1.01,0.65
36.11990939441969,71.20751213609277,0.847915729809,-3.03,0.97
35.36733780386922,72.34594043361005,0.7594690049280001,0.55,1.36
34.91927913077993,74.52164060371473,0.75496575321,-0.81,1.73
34.66612349485322,75.17942178678103,0.737230102596,2.99,2.06
35.945075973111706,73.36477584981316,0.671743611246,-2.53,0.76
34.69649681330133,75.13706676530413,0.6318467357890001,2.99,2.06
35.06477630119809,73.73797837880394,0.6082041718419999,0.22,1.74
36.15784358487003,71.77290239787553,0.596581510011,-0.61,0.98
35.30005666657972,72.23330840818907,0.567737187783,0.55,1.36
35.799474934431366,72.19410652234099,0.547302269652,-2.76,0.9
35.31918397411277,72.32300927341254,0.523416602234,0.55,1.36
34.84501715462898,74.80872037632845,0.477171417365,-2.4,1.63
35.42223617319671,72.51398762801023,0.475528098495,0.55,1.36
34.87685378656301,73.69427016626159,0.472248522583,0.22,1.74
35.418999977781944,72.43303349889429,0.449281429836,0.55,1.36
35.882438040832156,73.76280493632713,0.426740085309,1.01,0.65
35.798773982575,72.92076161812055,0.395546368551,-2.53,0.76
35.72082333156221,76.37281332861147,0.389057877798,-5.92,0.8
35.94563583251568,73.29072277469682,0.371760635683,-2.53,0.76
35.08799865311936,73.29164085614104,0.36375752632,8.74,1.92
35.05291047801399,74.82736756610363,0.315539571703,-2.4,1.63
34.986720312104474,76.21092089095767,0.313206397863,-0.46,0.89
35.87991915165005,73.57631309535972,0.304415867228,1.01,0.65
34.670957002371956,76.75761964848351,0.303477681666,-3.82,0.77
35.17094014361335,76.20519607268275,0.301092331218,-0.46,0.89
35.01785774261376,74.09028865470769,0.300895351726,-0.81,1.73
35.017816701114654,74.09028527169714,0.30072984432899996,-0.81,1.73
34.962238085645964,74.10030031735593,0.30004256666,-0.81,1.73
35.645805224908486,72.5121089723192,0.299158122125,0.55,1.36
36.26471715997808,73.95456962264015,0.297327356458,-0.87,0.45
35.972219495040804,73.91077178762916,0.29415063885,1.01,0.65
35.082015317439776,74.9612253995973,0.287427968305,-2.4,1.63
36.08009100269492,73.64579542084819,0.284196472173,1.01,0.65
35.62388841648371,72.79816642257607,0.28265799380400003,0.55,1.36
35.855682920009144,73.77480960518129,0.28166343593300003,1.01,0.65
35.32121323404797,72.29234592949147,0.280539720998,0.55,1.36
35.73827051186583,73.2553621405239,0.278113338291,4.27,1.28
35.824974380868916,73.21112875256433,0.27124036081799996,-2.53,0.76
36.43938575552511,75.68572522368012,0.267906375725,-8.63,0.49
35.32254759428394,72.46972024458987,0.266091367196,0.55,1.36
35.635890313288115,72.29681282334143,0.26590707664400004,0.55,1.36
35.67523420767146,73.34399490666942,0.258752591001,4.27,1.28
34.946712176822565,75.76240868598256,0.25344713008,-2.54,1.23
